Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,128.0529,-96.7108,0,top
C3,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,116.815,-79.12,90,top
C6,33p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,133.4774,-70.3964,180,top
C7,33p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.388,-73.6108,90,top
C8,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.548,-89.929,0,top
C9,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.307,-85.992,180,top
C10,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.548,-86.881,0,top
C11,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.562,-84.976,0,top
C12,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,127.3674,-79.6166,180,top
C13,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,140.183,-79.388,0,top
C14,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,136.119,-87.262,270,top
C15,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,138.772,-75.959,0,top
C16,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,133.96,-89.181,270,top
C17,1000p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,142.342,-75.07,270,top
C18,22p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,148.1078,-84.073,270,top
C19,220p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,145.263,-89.167,270,top
C20,220p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,145.263,-75.084,270,top
C21,22p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,148.1078,-80.15,270,top
C22,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.454,-89.181,270,top
C23,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,149.454,-75.084,270,top
C24,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,143.3466,-57.3408,0,top
C25,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,150.3798,-67.6278,0,top
C26,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,137.262,-57.3662,180,top
C27,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,145.404,-67.6278,180,top
C28,100u,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,144.6899,-94.9328,180,top
C29,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,127.85,-104.5594,180,top
